********************************************************************************
Field Output Report, written Tue Jul 04 09:14:51 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_10_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000
           103     2.500E-33    -900.0E-03
           104      500.E-03    -900.0E-03
           105            1.    -900.0E-03
           106           1.5    -900.0E-03
           107            2.    -900.0E-03
           108           2.5    -900.0E-03
           109            3.    -900.0E-03
           110           3.5    -900.0E-03
           111            4.    -900.0E-03
           112           4.5    -900.0E-03
           113            5.    -900.0E-03
           114           5.5    -900.0E-03
           115            6.    -900.0E-03
           116           6.5    -900.0E-03
           117            7.    -900.0E-03
           118           7.5    -900.0E-03
           119            8.    -900.0E-03
           120     2.500E-33        -1.050
           121      500.E-03        -1.050
           122            1.        -1.050
           123           1.5        -1.050
           124            2.        -1.050
           125           2.5        -1.050
           126            3.        -1.050
           127           3.5        -1.050
           128            4.        -1.050
           129           4.5        -1.050
           130            5.        -1.050
           131           5.5        -1.050
           132            6.        -1.050
           133           6.5        -1.050
           134            7.        -1.050
           135           7.5        -1.050
           136            8.        -1.050
           137     2.500E-33        -1.200
           138      500.E-03        -1.200
           139            1.        -1.200
           140           1.5        -1.200
           141            2.        -1.200
           142           2.5        -1.200
           143            3.        -1.200
           144           3.5        -1.200
           145            4.        -1.200
           146           4.5        -1.200
           147            5.        -1.200
           148           5.5        -1.200
           149            6.        -1.200
           150           6.5        -1.200
           151            7.        -1.200
           152           7.5        -1.200
           153            8.        -1.200
           154     2.500E-33        -1.350
           155      500.E-03        -1.350
           156            1.        -1.350
           157           1.5        -1.350
           158            2.        -1.350
           159           2.5        -1.350
           160            3.        -1.350
           161           3.5        -1.350
           162            4.        -1.350
           163           4.5        -1.350
           164            5.        -1.350
           165           5.5        -1.350
           166            6.        -1.350
           167           6.5        -1.350
           168            7.        -1.350
           169           7.5        -1.350
           170            8.        -1.350
           171     2.500E-33          -1.5
           172      500.E-03          -1.5
           173            1.          -1.5
           174           1.5          -1.5
           175            2.          -1.5
           176           2.5          -1.5
           177            3.          -1.5
           178           3.5          -1.5
           179            4.          -1.5
           180           4.5          -1.5
           181            5.          -1.5
           182           5.5          -1.5
           183            6.          -1.5
           184           6.5          -1.5
           185            7.          -1.5
           186           7.5          -1.5
           187            8.          -1.5
           188     2.500E-33        -1.650
           189      500.E-03        -1.650
           190            1.        -1.650
           191           1.5        -1.650
           192            2.        -1.650
           193           2.5        -1.650
           194            3.        -1.650
           195           3.5        -1.650
           196            4.        -1.650
           197           4.5        -1.650
           198            5.        -1.650
           199           5.5        -1.650
           200            6.        -1.650
           201           6.5        -1.650
           202            7.        -1.650
           203           7.5        -1.650
           204            8.        -1.650
           205           -0.        -1.800
           206      500.E-03        -1.800
           207            1.        -1.800
           208           1.5        -1.800
           209            2.        -1.800
           210           2.5        -1.800
           211            3.        -1.800
           212           3.5        -1.800
           213            4.        -1.800
           214           4.5        -1.800
           215            5.        -1.800
           216           5.5        -1.800
           217            6.        -1.800
           218           6.5        -1.800
           219            7.        -1.800
           220           7.5        -1.800
           221            8.        -1.800


  Minimum                -0.        -1.800
       At Node           205           221

  Maximum                 8.           -0.
       At Node           221            17

         Total          884.        -198.9


